,학정번호,강의명/교수명,별점,final_성적,final_교수,final_로드,final_강의력,족보여부,강의자료질
81,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.7,0.5,0.0,0.5
82,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,1.0,1.0,0.5,0.0,0.5,0.0,0.5
83,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,1.0,0.7,0.85,0.0,0.5
84,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,1.0,1.0,0.5,0.0,0.5,0.0,0.5
85,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,1.0,1.0,0.3,0.0,0.15,0.0,0.5
86,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,1.0,1.0,0.5,0.7,0.5,0.0,0.5
87,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.7,0.5,0.0,0.5
88,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,1.0,0.7,0.85,0.0,0.5
89,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.0,0.5,0.0,0.5
90,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.0,0.5,0.0,0.5
91,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.0,0.5,0.0,0.5
92,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.5,0.5,0.5,0.0,0.0,0.5
93,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.5,0.5,0.0,0.0,0.5
94,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.15,0.5,0.15,0.0,0.0,0.5
95,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.5,0.5,0.0,0.0,0.5
96,YCC1102-01-00,대학영어Ⅱ/전진희,2.0,0.15,0.15,0.5,0.0,0.0,0.5
97,YCC1102-01-00,대학영어Ⅱ/전진희,1.0,0.85,0.5,0.5,0.0,0.0,0.5
98,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.15,0.5,0.15,0.0,0.0,0.5
99,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.85,0.5,0.85,0.0,0.0,0.5
100,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.5,0.15,0.0,0.0,0.5
101,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.15,0.5,0.15,0.0,0.0,0.5
102,YCC1102-01-00,대학영어Ⅱ/전진희,1.0,0.15,0.15,0.5,0.0,0.0,0.5
103,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.85,0.5,0.85,0.0,0.0,0.5
104,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.85,0.85,0.85,0.7,0.0,0.5
105,YCC1102-01-00,대학영어Ⅱ/전진희,2.0,0.5,0.85,0.85,0.7,0.0,0.5
106,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.5,0.85,0.0,0.0,0.5
